Date,High,Low,Open,Close,Volume,Adj Close
2016-06-30,95.7699966430664,94.30000305175781,94.44000244140625,95.5999984741211,35836400.0,90.36719512939453
2016-07-01,96.47000122070312,95.33000183105469,95.48999786376953,95.88999938964844,26026500.0,90.64131927490234
2016-07-05,95.4000015258789,94.45999908447266,95.38999938964844,94.98999786376953,27705200.0,89.79057312011719
2016-07-06,95.66000366210938,94.37000274658203,94.5999984741211,95.52999877929688,30949100.0,90.30101776123047
2016-07-07,96.5,95.62000274658203,95.69999694824219,95.94000244140625,25139600.0,90.68858337402344
2016-07-08,96.88999938964844,96.05000305175781,96.48999786376953,96.68000030517578,28912100.0,91.3880844116211
2016-07-11,97.6500015258789,96.7300033569336,96.75,96.9800033569336,23794900.0,91.6716537475586
2016-07-12,97.69999694824219,97.12000274658203,97.16999816894531,97.41999816894531,24167500.0,92.08757781982422
2016-07-13,97.66999816894531,96.83999633789062,97.41000366210938,96.87000274658203,25892200.0,91.56768035888672
2016-07-14,98.98999786376953,97.31999969482422,97.38999938964844,98.79000091552734,38919000.0,93.38257598876953
2016-07-15,99.30000305175781,98.5,98.91999816894531,98.77999877929688,30137000.0,93.37313842773438
2016-07-18,100.12999725341797,98.5999984741211,98.69999694824219,99.83000183105469,36493900.0,94.36565399169922
2016-07-19,100.0,99.33999633789062,99.55999755859375,99.87000274658203,23779900.0,94.40347290039062
2016-07-20,100.45999908447266,99.73999786376953,100.0,99.95999908447266,26276000.0,94.48855590820312
2016-07-21,101.0,99.12999725341797,99.83000183105469,99.43000030517578,32702000.0,93.98755645751953
2016-07-22,99.30000305175781,98.30999755859375,99.26000213623047,98.66000366210938,28313700.0,93.25970458984375
2016-07-25,98.83999633789062,96.91999816894531,98.25,97.33999633789062,40382900.0,92.0119400024414
2016-07-26,97.97000122070312,96.41999816894531,96.81999969482422,96.66999816894531,56239800.0,91.37862396240234
2016-07-27,104.3499984741211,102.75,104.2699966430664,102.94999694824219,92344800.0,97.31486511230469
2016-07-28,104.44999694824219,102.81999969482422,102.83000183105469,104.33999633789062,39869800.0,98.62876892089844
2016-07-29,104.55000305175781,103.68000030517578,104.19000244140625,104.20999908447266,27733700.0,98.50592041015625
